Date , Year , Time , Magnitude
25-10-1970 , 1970.0 , 15:09:49 , 6.3
19-12-1970 , 1970.0 , 10:38:05 , 6.2
04-02-1971 , 1971.0 , 15:33:29 , 7.1
28-03-1971 , 1971.0 , 08:23:20 , 6.3
08-04-1971 , 1971.0 , 07:45:58 , 6.3
04-05-1971 , 1971.0 , 02:04:33 , 6.1
26-06-1971 , 1971.0 , 19:27:14 , 6.4
04-11-1972 , 1972.0 , 21:36:02 , 6.0
07-04-1973 , 1973.0 , 03:00:59 , 6.6
16-02-1974 , 1974.0 , 01:51:11 , 6.0
16-02-1974 , 1974.0 , 01:53:47 , 6.1
17-05-1974 , 1974.0 , 20:55:11 , 6.0
07-09-1974 , 1974.0 , 20:43:11 , 6.5
10-10-1974 , 1974.0 , 21:32:11 , 6.0
09-11-1974 , 1974.0 , 19:10:55 , 6.1
04-12-1974 , 1974.0 , 03:07:46 , 6.9
24-12-1974 , 1974.0 , 06:55:47 , 6.8
08-01-1975 , 1975.0 , 01:58:55 , 6.0
30-09-1975 , 1975.0 , 18:17:49 , 6.0
01-10-1975 , 1975.0 , 03:29:59 , 7.0
01-10-1975 , 1975.0 , 04:13:28 , 6.0
17-12-1975 , 1975.0 , 05:35:18 , 6.2
20-06-1976 , 1976.0 , 20:53:13 , 7.0
14-07-1976 , 1976.0 , 07:13:24 , 6.5
08-03-1977 , 1977.0 , 23:17:28 , 6.0
24-06-1978 , 1978.0 , 09:31:43 , 6.4
11-01-1979 , 1979.0 , 06:28:14 , 6.2
24-07-1979 , 1979.0 , 19:31:20 , 6.9
29-09-1979 , 1979.0 , 18:37:13 , 6.8
02-11-1979 , 1979.0 , 15:53:03 , 6.1
13-11-1979 , 1979.0 , 19:05:02 , 6.3
15-12-1979 , 1979.0 , 00:02:42 , 6.6
24-06-1980 , 1980.0 , 06:27:52 , 6.0
08-10-1980 , 1980.0 , 16:04:46 , 6.3
29-10-1980 , 1980.0 , 18:45:14 , 6.2
11-11-1982 , 1982.0 , 00:43:46 , 6.1
24-01-1983 , 1983.0 , 23:09:21 , 6.1
04-04-1983 , 1983.0 , 02:51:34 , 6.8
17-11-1984 , 1984.0 , 06:49:30 , 7.2
23-11-1984 , 1984.0 , 04:45:53 , 6.0
13-04-1985 , 1985.0 , 01:06:00 , 6.2
28-12-1985 , 1985.0 , 23:10:53 , 6.0
17-08-1988 , 1988.0 , 01:59:08 , 6.1
22-01-1990 , 1990.0 , 17:26:11 , 6.0
15-11-1990 , 1990.0 , 02:34:32 , 6.0
06-08-1991 , 1991.0 , 02:17:32 , 6.0
18-04-1992 , 1992.0 , 09:16:53 , 6.4
08-12-1992 , 1992.0 , 07:08:40 , 6.0
20-01-1993 , 1993.0 , 02:30:55 , 6.2
04-08-1993 , 1993.0 , 11:31:18 , 6.3
