Date , Year , Time , Magnitude
1979/10/15 , 1979.786885 , 23:16:53.910 , 6.4
1980/05/25 , 1980.398907 , 16:33:44.000 , 6.1
1980/05/25 , 1980.398907 , 19:44:50.910 , 6.1
1980/05/27 , 1980.404372 , 14:50:56.810 , 6.2
1980/06/09 , 1980.439891 , 03:28:19.140 , 6.3
1983/05/02 , 1983.333333 , 23:42:38.060 , 6.7
1984/11/23 , 1984.896175 , 18:08:25.360 , 6.1
1986/07/08 , 1986.516393 , 09:20:44.560 , 6.0
1986/07/21 , 1986.551913 , 14:42:26.000 , 6.4
1987/11/24 , 1987.896175 , 01:54:14.660 , 6.2
1987/11/24 , 1987.896175 , 13:15:56.710 , 6.6
1992/04/23 , 1992.311475 , 04:50:23.230 , 6.1
1992/06/28 , 1992.491803 , 11:57:34.130 , 7.3
1992/06/28 , 1992.491803 , 15:05:30.730 , 6.3
1993/05/17 , 1993.374317 , 23:20:50.250 , 6.1
1994/01/17 , 1994.046448 , 12:30:55.390 , 6.7
1999/10/16 , 1999.789617 , 09:46:44.460 , 7.1
2003/12/22 , 2003.972678 , 19:15:56.240 , 6.5
2010/04/04 , 2010.256831 , 22:40:42.360 , 7.2
2012/12/14 , 2012.953552 , 10:36:01.590 , 6.3
2019/07/04 , 2019.505464 , 17:33:49.000 , 6.4
2019/07/06 , 2019.510929 , 03:19:53.040 , 7.1
